Comment,Designator,Footprint,LCSC Part #
0R,E$1 E$3 E$5 L1 L2 L3,R0402,C17168
1uF,C1 C14 C19 C34 C37 C52,C0402,C52923
2.2uF,C2 C21 C39,C0603,C23630
4.7uF,C5 C25 C43,C0402,C23733
10k,R2 R3 R4 R5 R6 R8 R9 R10 R11 R13 R14 R15,R0402,C25744
12pF,C6 C7 C8 C11 C22 C23 C29 C30 C40 C41 C47 C48,C0402,C1547
15k,R1 R7 R12,R0402,C25756
32.768kHz,Y2 Y3 Y5,CRYSTAL-SMD-3.2X1.5MM,C32346
32MHz_2016,Y1 Y4 Y6,CRYSTAL-SMD-2.0X1.6MM,C255896
100nF,C3 C4 C9 C10 C12 C17 C18 C20 C24 C26 C27 C28 C35 C36 C38 C42 C44 C45 C46 C53 C54,C0402,C1525
100pF,C13 C31 C49,C0402,C1546
0603,D4 D5 D6 D10 D11 D12 D16 D17 D18,LED_0603,C2286
ANT,U$1 U$2 U$3,TI-AN043_LEFT,
AP2210K-3.3TRG,VR1 VR2 VR3,SOT-23-5,C176959
B5819W,D1 D7 D13,SOD-123,C8598
CH340E,U1 U4 U6,MSOP-10,C99652
DNP,C15 C16 C32 C33 C50 C51,C0402,
NRF52832,U2 U3 U5,QFN40P600X600X90-49T450N,C77540
PWR,D3 D8 D14,LED_0603,C72038
SPST-3x4mm,S1 S2 S3,TACTILE_SWITCH_SMD_3.0X4.0MM,C720477
TC2030-IDC-NL,TC1 TC2 TC3,TC2030-IDC-NL,
TVS,D2 D9 D15,SPT-23-6,C85364
USB-A_PTH_MALE,J1 J2 J3,USB-A-H-RECT,C98125
