Designator,Mid X,Mid Y,Layer,Rotation
C1,14.72,23.76,Top,180.0
C2,14.21,18.18,Top,180.0
C3,11.29,19.32,Top,180.0
C4,23.99,20.46,Top,0.0
C5,22.34,20.84,Top,90.0
C6,28.94,21.10,Top,90.0
C7,19.29,16.27,Top,0.0
C8,19.29,21.35,Top,0.0
C9,27.92,21.10,Top,90.0
C10,21.19,20.84,Top,90.0
C11,32.75,21.10,Top,270.0
C12, 7.10, 8.52,Top,270.0
C13,30.21,18.18,Top,90.0
C14,12.56,13.35,Top,270.0
C15,31.10,15.64,Top,315.0
C16,32.62,18.68,Top,135.0
C17,23.10,11.83,Top,270.0
C18,11.56, 8.52,Top,90.0
C19,55.72,23.76,Top,180.0
C20,52.29,19.32,Top,180.0
C21,55.21,18.18,Top,180.0
C22,60.29,16.27,Top,0.0
C23,60.29,21.35,Top,0.0
C24,62.19,20.84,Top,90.0
C25,63.34,20.84,Top,90.0
C26,64.99,20.46,Top,0.0
C27,64.10,11.83,Top,270.0
C28,68.93,21.10,Top,90.0
C29,73.75,21.10,Top,270.0
C30,69.94,21.10,Top,90.0
C31,71.21,18.18,Top,90.0
C32,72.10,15.64,Top,315.0
C33,73.62,18.68,Top,135.0
C34,53.56,13.35,Top,270.0
C35,48.10, 8.52,Top,270.0
C36,52.57, 8.52,Top,90.0
C37,96.72,23.76,Top,180.0
C38,93.29,19.32,Top,180.0
C39,96.21,18.18,Top,180.0
C40,101.29,16.27,Top,0.0
C41,101.29,21.35,Top,0.0
C42,103.19,20.84,Top,90.0
C43,104.34,20.84,Top,90.0
C44,105.99,20.46,Top,0.0
C45,105.10,11.83,Top,270.0
C46,109.92,21.10,Top,90.0
C47,114.75,21.10,Top,270.0
C48,110.94,21.10,Top,90.0
C49,112.21,18.18,Top,90.0
C50,113.10,15.64,Top,315.0
C51,114.62,18.68,Top,135.0
C52,94.56,13.35,Top,270.0
C53,89.10, 8.52,Top,270.0
C54,93.56, 8.52,Top,90.0
D1, 9.00,20.97,Top,180.0
D2, 9.64,16.03,Top,90.0
D3, 8.49,23.89,Top,180.0
D4,14.84,10.94,Top,0.0
D5,14.84, 9.67,Top,0.0
D6,14.84, 8.40,Top,0.0
D7,50.00,20.97,Top,180.0
D8,49.49,23.89,Top,180.0
D9,50.64,16.03,Top,90.0
D10,55.84,10.94,Top,0.0
D11,55.84, 9.67,Top,0.0
D12,55.84, 8.40,Top,0.0
D13,91.00,20.97,Top,180.0
D14,90.49,23.89,Top,180.0
D15,91.64,16.03,Top,90.0
D16,96.84,10.94,Top,0.0
D17,96.84, 9.67,Top,0.0
D18,96.84, 8.40,Top,0.0
E$1, 6.35,30.09,Top,0.0
E$3,115.06,30.09,Top,0.0
E$5, 6.35, 1.91,Top,0.0
J1, 3.79,16.00,Top,0.0
J2,44.80,16.00,Top,0.0
J3,85.79,16.00,Top,0.0
L1,31.86,17.16,Top,45.0
L2,72.86,17.16,Top,45.0
L3,113.86,17.16,Top,45.0
R1, 8.49,22.75,Top,0.0
R2,12.56,15.64,Top,90.0
R3,17.51,12.33,Top,180.0
R4,17.51,11.32,Top,180.0
R5,17.51,10.30,Top,180.0
R6,53.56,15.64,Top,90.0
R7,49.49,22.75,Top,0.0
R8,58.51,12.33,Top,180.0
R9,58.51,11.32,Top,180.0
R10,58.51,10.30,Top,180.0
R11,94.56,15.64,Top,90.0
R12,90.49,22.75,Top,0.0
R13,99.51,12.33,Top,180.0
R14,99.51,11.32,Top,180.0
R15,99.51,10.30,Top,180.0
S1,14.84,14.49,Top,270.0
S2,55.84,14.49,Top,270.0
S3,96.84,14.49,Top,270.0
TC1,31.73,11.19,Top,270.0
TC2,72.74,11.19,Top,270.0
TC3,113.73,11.19,Top,270.0
U$1,34.30,21.70,Top,270.0
U$2,75.30,21.70,Top,270.0
U$3,116.30,21.70,Top,270.0
U1, 9.38,10.68,Top,180.0
U2,25.38,16.27,Top,270.0
U3,66.39,16.27,Top,270.0
U4,50.38,10.68,Top,180.0
U5,107.38,16.27,Top,270.0
U6,91.38,10.68,Top,180.0
VR1,14.21,20.97,Top,90.0
VR2,55.21,20.97,Top,90.0
VR3,96.21,20.97,Top,90.0
Y1,30.85,21.10,Top,180.0
Y2,19.29,18.81,Top,90.0
Y3,60.29,18.81,Top,90.0
Y4,71.85,21.10,Top,180.0
Y5,101.29,18.81,Top,90.0
Y6,112.84,21.10,Top,180.0
