Comment,Designator,Footprint,LCSC Part #
0.8pF,E$1 E$3 E$5 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 C15 C16 C31 C32 C48 C49 C65 C66 C82 C83 C99 C100 C116 C117 C133 C134 C150 C151 C167 C168 C184 C185 C201 C202 C218 C219 C235 C236 C252 C253 C269 C270 C286 C287 C303 C304 C320 C321 C337 C338 C354 C355 C371 C372 C388 C389 C405 C406,C0402,C1525
1uF,C1 C14 C18 C33 C35 C50 C52 C67 C69 C84 C86 C101 C103 C118 C120 C135 C137 C152 C154 C169 C171 C186 C188 C203 C205 C220 C222 C237 C239 C254 C256 C271 C273 C288 C290 C305 C307 C322 C324 C339 C341 C356 C358 C373 C375 C390 C392 C407,C0402,C52923
2.2uF,C2 C20 C37 C54 C71 C88 C105 C122 C139 C156 C173 C190 C207 C224 C241 C258 C275 C292 C309 C326 C343 C360 C377 C394,C0603,C23630
4.7uF,C5 C24 C41 C58 C75 C92 C109 C126 C143 C160 C177 C194 C211 C228 C245 C262 C279 C296 C313 C330 C347 C364 C381 C398,C0402,C23733
10k,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R70 R71 R72 R73 R74 R75 R76 R77 R78 R79 R80 R81 R82 R83 R84 R85 R86 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96 R97 R98 R99 R100 R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R111 R112 R113 R114 R115 R116 R117 R118 R119 R120,R0402,C25744
12pF,C6 C7 C8 C11 C21 C22 C28 C29 C38 C39 C45 C46 C55 C56 C62 C63 C72 C73 C79 C80 C89 C90 C96 C97 C106 C107 C113 C114 C123 C124 C130 C131 C140 C141 C147 C148 C157 C158 C164 C165 C174 C175 C181 C182 C191 C192 C198 C199 C208 C209 C215 C216 C225 C226 C232 C233 C242 C243 C249 C250 C259 C260 C266 C267 C276 C277 C283 C284 C293 C294 C300 C301 C310 C311 C317 C318 C327 C328 C334 C335 C344 C345 C351 C352 C361 C362 C368 C369 C378 C379 C385 C386 C395 C396 C402 C403,C0402,C1547
32.768kHz,Y2 Y3 Y5 Y7 Y9 Y11 Y13 Y15 Y17 Y19 Y21 Y23 Y25 Y27 Y29 Y31 Y33 Y35 Y37 Y39 Y41 Y43 Y45 Y47,CRYSTAL-SMD-3.2X1.5MM,C32346
32MHz_2016,Y1 Y4 Y6 Y8 Y10 Y12 Y14 Y16 Y18 Y20 Y22 Y24 Y26 Y28 Y30 Y32 Y34 Y36 Y38 Y40 Y42 Y44 Y46 Y48,CRYSTAL-SMD-2.0X1.6MM,C255896
100nF,C3 C4 C9 C10 C12 C17 C19 C23 C25 C26 C27 C34 C36 C40 C42 C43 C44 C51 C53 C57 C59 C60 C61 C68 C70 C74 C76 C77 C78 C85 C87 C91 C93 C94 C95 C102 C104 C108 C110 C111 C112 C119 C121 C125 C127 C128 C129 C136 C138 C142 C144 C145 C146 C153 C155 C159 C161 C162 C163 C170 C172 C176 C178 C179 C180 C187 C189 C193 C195 C196 C197 C204 C206 C210 C212 C213 C214 C221 C223 C227 C229 C230 C231 C238 C240 C244 C246 C247 C248 C255 C257 C261 C263 C264 C265 C272 C274 C278 C280 C281 C282 C289 C291 C295 C297 C298 C299 C306 C308 C312 C314 C315 C316 C323 C325 C329 C331 C332 C333 C340 C342 C346 C348 C349 C350 C357 C359 C363 C365 C366 C367 C374 C376 C380 C382 C383 C384 C391 C393 C397 C399 C400 C401 C408,C0402,C1525
100pF,C13 C30 C47 C64 C81 C98 C115 C132 C149 C166 C183 C200 C217 C234 C251 C268 C285 C302 C319 C336 C353 C370 C387 C404,C0402,C1546
0603,D3 D4 D5 D6 D8 D10 D11 D12 D14 D16 D17 D18 D20 D22 D23 D24 D26 D28 D29 D30 D32 D34 D35 D36 D38 D40 D41 D42 D44 D46 D47 D48 D50 D52 D53 D54 D56 D58 D59 D60 D62 D64 D65 D66 D68 D70 D71 D72 D74 D76 D77 D78 D80 D82 D83 D84 D86 D88 D89 D90 D92 D94 D95 D96 D98 D100 D101 D102 D104 D106 D107 D108 D110 D112 D113 D114 D116 D118 D119 D120 D122 D124 D125 D126 D128 D130 D131 D132 D134 D136 D137 D138 D140 D142 D143 D144,LED_0603,
