Designator,Mid X,Mid Y,Layer,Rotation
C1,15.37,16.89,Top,180.0
C2,14.86,11.18,Top,180.0
C3,12.57,11.81,Top,270.0
C4,25.78,12.95,Top,0.0
C5,24.13,13.21,Top,90.0
C6,32.38,14.10,Top,0.0
C7,19.56,10.29,Top,270.0
C8,19.56,12.57,Top,90.0
C9,30.23,12.95,Top,90.0
C10,22.99,13.21,Top,90.0
C11,32.38,10.29,Top,180.0
C12, 7.75, 2.03,Top,90.0
C13,32.38, 9.27,Top,0.0
C14,19.43, 6.73,Top,0.0
C15,31.88, 7.37,Top,270.0
C16,35.05, 7.37,Top,270.0
C17,24.38, 4.57,Top,180.0
C18,65.87,16.89,Top,180.0
C19,63.07,11.81,Top,270.0
C20,65.36,11.18,Top,180.0
C21,70.06,10.29,Top,270.0
C22,70.06,12.57,Top,90.0
C23,73.49,13.21,Top,90.0
C24,74.63,13.21,Top,90.0
C25,76.28,12.95,Top,0.0
C26,74.88, 4.57,Top,180.0
C27,80.73,12.95,Top,90.0
C28,82.89,10.29,Top,180.0
C29,82.89,14.10,Top,0.0
C30,82.89, 9.27,Top,0.0
C31,82.38, 7.37,Top,270.0
C32,85.55, 7.37,Top,270.0
C33,69.93, 6.73,Top,0.0
C34,58.25, 2.03,Top,90.0
C35,116.37,16.89,Top,180.0
C36,113.57,11.81,Top,270.0
C37,115.86,11.18,Top,180.0
C38,120.56,10.29,Top,270.0
C39,120.56,12.57,Top,90.0
C40,123.99,13.21,Top,90.0
C41,125.13,13.21,Top,90.0
C42,126.78,12.95,Top,0.0
C43,125.38, 4.57,Top,180.0
C44,131.23,12.95,Top,90.0
C45,133.39,10.29,Top,180.0
C46,133.39,14.10,Top,0.0
C47,133.39, 9.27,Top,0.0
C48,132.88, 7.37,Top,270.0
C49,136.05, 7.37,Top,270.0
C50,120.43, 6.73,Top,0.0
C51,108.75, 2.03,Top,90.0
C52,15.37,39.89,Top,180.0
C53,12.57,34.81,Top,270.0
C54,14.86,34.18,Top,180.0
C55,19.56,33.29,Top,270.0
C56,19.56,35.57,Top,90.0
C57,22.99,36.21,Top,90.0
C58,24.13,36.21,Top,90.0
C59,25.78,35.95,Top,0.0
C60,24.38,27.57,Top,180.0
C61,30.23,35.95,Top,90.0
C62,32.38,33.29,Top,180.0
C63,32.38,37.10,Top,0.0
C64,32.38,32.27,Top,0.0
C65,31.88,30.37,Top,270.0
C66,35.05,30.37,Top,270.0
C67,19.43,29.73,Top,0.0
C68, 7.75,25.03,Top,90.0
C69,65.87,39.89,Top,180.0
C70,63.07,34.81,Top,270.0
C71,65.36,34.18,Top,180.0
C72,70.06,33.29,Top,270.0
C73,70.06,35.57,Top,90.0
C74,73.49,36.21,Top,90.0
C75,74.63,36.21,Top,90.0
C76,76.28,35.95,Top,0.0
C77,74.88,27.57,Top,180.0
C78,80.73,35.95,Top,90.0
C79,82.89,33.29,Top,180.0
C80,82.89,37.10,Top,0.0
C81,82.89,32.27,Top,0.0
C82,82.38,30.37,Top,270.0
C83,85.55,30.37,Top,270.0
C84,69.93,29.73,Top,0.0
C85,58.25,25.03,Top,90.0
C86,116.37,39.89,Top,180.0
C87,113.57,34.81,Top,270.0
C88,115.86,34.18,Top,180.0
C89,120.56,33.29,Top,270.0
C90,120.56,35.57,Top,90.0
C91,123.99,36.21,Top,90.0
C92,125.13,36.21,Top,90.0
C93,126.78,35.95,Top,0.0
C94,125.38,27.57,Top,180.0
C95,131.23,35.95,Top,90.0
C96,133.39,33.29,Top,180.0
C97,133.39,37.10,Top,0.0
C98,133.39,32.27,Top,0.0
C99,132.88,30.37,Top,270.0
C100,136.05,30.37,Top,270.0
C101,120.43,29.73,Top,0.0
C102,108.75,25.03,Top,90.0
C103,15.37,62.89,Top,180.0
C104,12.57,57.81,Top,270.0
C105,14.86,57.18,Top,180.0
C106,19.56,56.29,Top,270.0
C107,19.56,58.57,Top,90.0
C108,22.99,59.21,Top,90.0
C109,24.13,59.21,Top,90.0
C110,25.78,58.95,Top,0.0
C111,24.38,50.57,Top,180.0
C112,30.23,58.95,Top,90.0
C113,32.38,56.29,Top,180.0
C114,32.38,60.10,Top,0.0
C115,32.38,55.27,Top,0.0
C116,31.88,53.37,Top,270.0
C117,35.05,53.37,Top,270.0
C118,19.43,52.73,Top,0.0
C119, 7.75,48.03,Top,90.0
C120,65.87,62.89,Top,180.0
C121,63.07,57.81,Top,270.0
C122,65.36,57.18,Top,180.0
C123,70.06,56.29,Top,270.0
C124,70.06,58.57,Top,90.0
C125,73.49,59.21,Top,90.0
C126,74.63,59.21,Top,90.0
C127,76.28,58.95,Top,0.0
C128,74.88,50.57,Top,180.0
C129,80.73,58.95,Top,90.0
C130,82.89,56.29,Top,180.0
C131,82.89,60.10,Top,0.0
C132,82.89,55.27,Top,0.0
C133,82.38,53.37,Top,270.0
C134,85.55,53.37,Top,270.0
C135,69.93,52.73,Top,0.0
C136,58.25,48.03,Top,90.0
C137,116.37,62.89,Top,180.0
C138,113.57,57.81,Top,270.0
C139,115.86,57.18,Top,180.0
C140,120.56,56.29,Top,270.0
C141,120.56,58.57,Top,90.0
C142,123.99,59.21,Top,90.0
C143,125.13,59.21,Top,90.0
C144,126.78,58.95,Top,0.0
C145,125.38,50.57,Top,180.0
C146,131.23,58.95,Top,90.0
C147,133.39,56.29,Top,180.0
C148,133.39,60.10,Top,0.0
C149,133.39,55.27,Top,0.0
C150,132.88,53.37,Top,270.0
C151,136.05,53.37,Top,270.0
C152,120.43,52.73,Top,0.0
C153,108.75,48.03,Top,90.0
C154,15.37,85.89,Top,180.0
C155,12.57,80.81,Top,270.0
C156,14.86,80.18,Top,180.0
C157,19.56,79.29,Top,270.0
C158,19.56,81.57,Top,90.0
C159,22.99,82.21,Top,90.0
C160,24.13,82.21,Top,90.0
C161,25.78,81.95,Top,0.0
C162,24.38,73.57,Top,180.0
C163,30.23,81.95,Top,90.0
C164,32.38,79.29,Top,180.0
C165,32.38,83.10,Top,0.0
C166,32.38,78.27,Top,0.0
C167,31.88,76.37,Top,270.0
C168,35.05,76.37,Top,270.0
C169,19.43,75.73,Top,0.0
C170, 7.75,71.03,Top,90.0
C171,65.87,85.89,Top,180.0
C172,63.07,80.81,Top,270.0
C173,65.36,80.18,Top,180.0
C174,70.06,79.29,Top,270.0
C175,70.06,81.57,Top,90.0
C176,73.49,82.21,Top,90.0
C177,74.63,82.21,Top,90.0
C178,76.28,81.95,Top,0.0
C179,74.88,73.57,Top,180.0
C180,80.73,81.95,Top,90.0
C181,82.89,79.29,Top,180.0
C182,82.89,83.10,Top,0.0
C183,82.89,78.27,Top,0.0
C184,82.38,76.37,Top,270.0
C185,85.55,76.37,Top,270.0
C186,69.93,75.73,Top,0.0
C187,58.25,71.03,Top,90.0
C188,116.37,85.89,Top,180.0
C189,113.57,80.81,Top,270.0
C190,115.86,80.18,Top,180.0
C191,120.56,79.29,Top,270.0
C192,120.56,81.57,Top,90.0
C193,123.99,82.21,Top,90.0
C194,125.13,82.21,Top,90.0
C195,126.78,81.95,Top,0.0
C196,125.38,73.57,Top,180.0
C197,131.23,81.95,Top,90.0
C198,133.39,79.29,Top,180.0
C199,133.39,83.10,Top,0.0
C200,133.39,78.27,Top,0.0
C201,132.88,76.37,Top,270.0
C202,136.05,76.37,Top,270.0
C203,120.43,75.73,Top,0.0
C204,108.75,71.03,Top,90.0
C205,15.37,108.89,Top,180.0
C206,12.57,103.81,Top,270.0
C207,14.86,103.17,Top,180.0
C208,19.56,102.29,Top,270.0
C209,19.56,104.57,Top,90.0
C210,22.99,105.21,Top,90.0
C211,24.13,105.21,Top,90.0
C212,25.78,104.95,Top,0.0
C213,24.38,96.57,Top,180.0
C214,30.23,104.95,Top,90.0
C215,32.38,102.29,Top,180.0
C216,32.38,106.10,Top,0.0
C217,32.38,101.27,Top,0.0
C218,31.88,99.36,Top,270.0
C219,35.05,99.36,Top,270.0
C220,19.43,98.73,Top,0.0
C221, 7.75,94.03,Top,90.0
C222,65.87,108.89,Top,180.0
C223,63.07,103.81,Top,270.0
C224,65.36,103.17,Top,180.0
C225,70.06,102.29,Top,270.0
C226,70.06,104.57,Top,90.0
C227,73.49,105.21,Top,90.0
C228,74.63,105.21,Top,90.0
C229,76.28,104.95,Top,0.0
C230,74.88,96.57,Top,180.0
C231,80.73,104.95,Top,90.0
C232,82.89,102.29,Top,180.0
C233,82.89,106.10,Top,0.0
C234,82.89,101.27,Top,0.0
C235,82.38,99.36,Top,270.0
C236,85.55,99.36,Top,270.0
C237,69.93,98.73,Top,0.0
C238,58.25,94.03,Top,90.0
C239,116.37,108.89,Top,180.0
C240,113.57,103.81,Top,270.0
C241,115.86,103.17,Top,180.0
C242,120.56,102.29,Top,270.0
C243,120.56,104.57,Top,90.0
C244,123.99,105.21,Top,90.0
C245,125.13,105.21,Top,90.0
C246,126.78,104.95,Top,0.0
C247,125.38,96.57,Top,180.0
C248,131.23,104.95,Top,90.0
C249,133.39,102.29,Top,180.0
C250,133.39,106.10,Top,0.0
C251,133.39,101.27,Top,0.0
C252,132.88,99.36,Top,270.0
C253,136.05,99.36,Top,270.0
C254,120.43,98.73,Top,0.0
C255,108.75,94.03,Top,90.0
C256,15.37,131.89,Top,180.0
C257,12.57,126.81,Top,270.0
C258,14.86,126.18,Top,180.0
C259,19.56,125.29,Top,270.0
C260,19.56,127.57,Top,90.0
C261,22.99,128.21,Top,90.0
C262,24.13,128.21,Top,90.0
C263,25.78,127.96,Top,0.0
C264,24.38,119.57,Top,180.0
C265,30.23,127.96,Top,90.0
C266,32.38,125.29,Top,180.0
C267,32.38,129.10,Top,0.0
C268,32.38,124.27,Top,0.0
C269,31.88,122.37,Top,270.0
C270,35.05,122.37,Top,270.0
C271,19.43,121.73,Top,0.0
C272, 7.75,117.03,Top,90.0
