Designator,Mid X,Mid Y,Layer,Rotation
C1,15.37,16.89,Top,180.0
C2,14.86,11.18,Top,180.0
C3,12.57,11.81,Top,270.0
C4,25.78,12.95,Top,0.0
C5,24.13,13.21,Top,90.0
C6,32.38,14.10,Top,0.0
C7,19.56,10.29,Top,270.0
C8,19.56,12.57,Top,90.0
C9,30.23,12.95,Top,90.0
C10,22.99,13.21,Top,90.0
C11,32.38,10.29,Top,180.0
C12, 7.75, 2.03,Top,90.0
C13,32.38, 9.27,Top,0.0
C14,19.43, 6.73,Top,0.0
C15,31.88, 7.37,Top,270.0
C16,35.05, 7.37,Top,270.0
C17,24.38, 4.57,Top,180.0
D1, 9.40,13.34,Top,180.0
D2, 9.53, 9.14,Top,270.0
D3, 9.65,16.38,Top,180.0
D4,42.42,15.37,Top,0.0
D5,42.42,14.10,Top,0.0
D6,42.55,12.83,Top,0.0
J1, 2.79, 9.27,Top,0.0
L1,33.53, 8.00,Top,0.0
R1, 9.65,15.11,Top,0.0
R2,19.43, 2.54,Top,180.0
R3,44.83,15.37,Top,0.0
R4,44.83,14.10,Top,0.0
R5,44.83,12.83,Top,0.0
S1,19.43, 4.70,Top,180.0
TC1,30.86, 2.54,Top,180.0
TP1,43.56, 4.45,Top,180.0
U1,10.03, 3.68,Top,270.0
U2,27.18, 8.64,Top,0.0
VR1,14.86,14.10,Top,270.0
Y1,32.38,12.19,Top,90.0
Y2,21.34,11.43,Top,90.0
